"Longitude_Maxima","Latitude_Maxima","Daten_Maxima.Aktivität","Daten_Maxima.Zeitdauer_Transport","Daten_Maxima.Zeit_Auftreffen","Daten_Maxima.Freisetzung_Kraftwerk"
148.081240710125,43.5780710993143,112013113844.365,1,98,89
148.85905816943,43.2558885586195,117265655164.168,1,98,89
149.181240710125,42.4780710993143,5559131541.87117,1,98,89
151.075742819698,44.1688665006895,176798205535.022,1,98,89
148.85905816943,41.7002536400091,19139531961.9048,1,98,89
151.683678833404,44.6379681194133,15793571996.5776,3,100,89
151.683678833404,44.6379681194133,147424233118.411,3,100,89
149.551427708116,43.4053299792757,182357337076.893,1,98,89
147.30342325082,43.2558885586195,86796685132.2034,1,98,89
146.981240710125,42.4780710993143,5559131541.87117,1,98,89
145.813477817031,45.3333389627405,5389662388.64046,3,100,89
145.263652311052,45.8272069075058,10280981978.9366,4,101,89
147.30342325082,43.2558885586195,86796685132.2034,1,98,89
147.147708311301,43.2934486456256,148705640992.143,1,98,89
144.897247643379,45.6099104553365,5099775798.9185,3,100,89
144.270440145349,46.0734415290817,9375709759.13402,4,101,89
147.147708311301,44.3934486456256,1.85e+11,1,98,89
147.925525770607,44.0712661049308,1.85e+11,1,98,89
148.247708311301,43.2934486456256,113636371277.289,1,98,89
147.925525770607,42.5156311863203,5639692659.10322,1,98,89
147.924901378669,45.737409094367,12548631975.8705,3,100,89
146.737180638241,46.2491307957613,13986768939.7272,4,101,89
145.972050520335,45.2964918144645,5639692659.10322,3,100,89
145.252354079667,45.8013913486916,10757924043.1064,4,101,89
146.369890851996,44.0712661049308,1.85e+11,1,98,89
146.047708311301,43.2934486456256,54346785626.0207,1,98,89
143.573099829256,45.2290303139171,1866337326.54505,3,100,89
143.288873415794,45.7572993995042,6333824389.4453,4,101,89
146.369890851996,44.0712661049308,1.85e+11,1,98,89
141.025689,37.316501,4.08e+13,1,91,90
145.264714923944,38.6175674721765,2.04e+12,2,96,90
145.710021915383,40.3319979747026,23506117996.9444,3,97,90
148.472106632893,43.2856792283279,996493882003.056,4,98,90
146.061887738262,39.8703238883126,37922032747.1191,3,97,90
146.061887738262,39.8703238883126,982077967252.881,3,97,90
