"Longitude_Maxima","Latitude_Maxima","Daten_Maxima.Aktivität","Daten_Maxima.Zeitdauer_Transport","Daten_Maxima.Zeit_Auftreffen"
144.367893714512,40.5557887101237,4543094352281.01,3,96
141.356186793681,40.114586365093,1304661252265,1,94
142.291545841511,40.6758050665727,3561509554636.59,2,95
142.653775911831,42.7222240755994,32869678249702.2,3,96
143.416816523225,40.6281058899877,7566443122794.08,2,95
144.111370375133,42.3316747107398,1734904311504.95,3,96
145.635753180917,44.5046666935919,28434501622304.7,4,97
145.036719578031,40.8873170039506,1067043657546.23,3,96
147.001657012342,42.3314983198565,218598104775.954,4,97
146.120285816735,40.7173121963521,224959198864.359,4,97
140.578369334376,39.7924038243982,37735849056603.8,1,94
140.256186793681,39.014586365093,10979322069721,1,94
140.975525096519,39.2513892448988,25231882916171,2,95
142.83796854073,41.7228739170472,204491360254.518,4,97
140.578369334376,39.7924038243982,37735849056603.8,1,94
147.730474379016,44.2366839532731,14185720752185.3,1,98
147.730474379016,45.3366839532731,7092860376092.65,1,98
148.508291838321,45.0145014125783,7092860376092.65,1,98
148.830474379016,44.2366839532731,7092860376092.65,1,98
148.508291838321,43.4588664939679,3847123226724.57,1,98
148.458845653598,45.7986978550388,525504365948.566,3,100
147.100143890248,46.2416172747895,170985224017.118,4,101
147.730474379016,43.1366839532731,607991442367.574,1,98
146.711457343481,45.6817609393314,162095826775.634,3,100
145.903576831378,46.2122073123123,198943254223.576,4,101
146.952656919711,45.0145014125783,7092860376092.65,1,98
146.630474379016,44.2366839532731,7092860376092.65,1,98
146.952656919711,45.0145014125783,7092860376092.65,1,98
149.204101608231,44.0688876714587,7290041458856.32,1,98
149.204101608231,45.1688876714587,3645020729428.16,1,98
149.981919067536,44.8467051307639,3645020729428.16,1,98
150.304101608231,44.0688876714587,3645020729428.16,1,98
149.981919067536,43.2910702121535,2783757815210.39,1,98
153.636470389742,44.9350405221708,861262914217.767,2,99
149.204101608231,42.9688876714587,330176862959.618,1,98
150.965344333912,45.43703383627,577856280996.394,3,100
149.508626523913,46.2332544237855,1255944174253.61,4,101
148.426284148926,44.8467051307639,3645020729428.16,1,98
148.104101608231,44.0688876714587,3645020729428.16,1,98
148.426284148926,44.8467051307639,3645020729428.16,1,98
148.081240710125,42.4780710993143,107704536716.533,1,98
148.154825116817,45.3866099276418,278135794499.065,3,100
146.974497336137,45.8983316290361,447310462924.457,4,101
146.974497336137,45.8983316290361,6669027177407.83,4,101
148.081240710125,43.5780710993143,1751425765368.29,1,98
147.171844244987,45.82515001741,69135402712.9314,3,100
146.370401546077,46.362563710051,146283279427.918,4,101
148.85905816943,43.2558885586195,1846998212840.77,1,98
149.846184389533,45.6621997614473,480591719277.422,3,100
148.293422104377,46.2303857825871,282604324326.672,4,101
149.181240710125,42.4780710993143,53852268358.2665,1,98
151.715720027707,44.9784411175536,446685291791.992,3,100
150.985112040232,46.1038675590094,1173859274382.55,4,101
150.985112040232,46.1038675590094,2076692151241.13,4,101
148.85905816943,41.7002536400091,225800553216.793,1,98
150.901377161521,44.5212655151064,63707751835.9091,3,100
150.113452549964,45.7477180916338,1436087608897.11,4,101
148.799607008661,44.4542610569632,330693299896.495,3,100
147.264895113807,45.2728351283883,214995248252.895,4,101
147.30342325082,43.2558885586195,1303069856078.57,1,98
145.898829607223,45.5465132245909,35144829573.0914,3,100
145.175939001253,46.051412758818,83421565557.8227,4,101
146.981240710125,42.4780710993143,53852268358.2665,1,98
145.940774248153,45.0828057599624,79873532401.6754,3,100
145.131134995314,45.5531590008748,51932442479.3658,4,101
147.30342325082,43.2558885586195,1303069856078.57,1,98
145.898829607223,45.5465132245909,35144829573.0914,3,100
145.175939001253,46.051412758818,83421565557.8227,4,101
147.147708311301,43.2934486456256,2154915219599.95,1,98
144.897247643379,45.6099104553365,55968544910.7496,3,100
144.270440145349,46.0734415290817,115282858264.596,4,101
147.147708311301,44.3934486456256,3773584905660.38,1,98
147.925525770607,44.0712661049308,3773584905660.38,1,98
148.247708311301,43.2934486456256,1761929364150.99,1,98
147.179223570685,45.9346165819963,69550019504.6537,3,100
146.376200350353,46.4720302746373,147160565183.393,4,101
147.925525770607,42.5156311863203,54175229588.8012,1,98
148.832117408774,44.5918064563955,3719409676071.58,1,98
146.400518587916,45.2069327263335,106704365754.623,3,100
145.486352278772,45.7153159203907,66266553763.5986,4,101
146.369890851996,44.0712661049308,3773584905660.38,1,98
146.047708311301,43.2934486456256,749162010199.258,1,98
143.791943648698,45.1923067332086,122773969017.176,3,100
143.27716617656,45.7175276164444,109142650470.858,4,101
146.369890851996,44.0712661049308,3773584905660.38,1,98
142.70741633752,43.8330148704654,264030542091.468,1,98
142.70741633752,44.9330148704654,132015271045.734,1,98
143.485233796825,44.6108323297706,132015271045.734,1,98
143.80741633752,43.8330148704654,132015271045.734,1,98
143.485233796825,43.0551974111602,122536071838.723,1,98
142.70741633752,42.7330148704654,132015271045.734,1,98
141.929598878215,44.6108323297706,132015271045.734,1,98
141.60741633752,43.8330148704654,132015271045.734,1,98
141.929598878215,44.6108323297706,132015271045.734,1,98
146.644443469968,46.7634996506881,80410477078.8144,1,102
146.517020788326,46.8706813543173,87803862826.1693,2,103
146.856748739892,46.672171907859,71863930619.6139,3,104
147.767003026466,46.2369187454499,269771241355.881,3,104
146.644443469968,47.8634996506881,71397948295.8873,1,102
146.395809470427,48.0107434423629,55703215742.7665,2,103
146.505439102996,47.9017930840357,41735888419.9539,3,104
147.422260929273,47.5413171099934,91623962132.744,1,102
